type,book_id,user,time,rating,content
短评,35295592,仔_,2021-02-01 01:59:20,5,2021我要开始养大鹅：“挣来的钱一分为三，其中50%用于养鹅，40%用于实现中短期目标，10%用于零花钱。”
短评,35295592,魔理沙,2021-01-24 01:41:43,5,这本书本身就是那只“小狗”啊！属于「如果我在12岁看到就好了！」和「现在看到也不晚！」的书
短评,35295592,芃芃其麥,2021-02-04 09:10:24,4,先提前帮孩子看掉==！
短评,35295592,赫拉克利喵,2021-02-06 10:42:11,5,天下难事，必作于易。天下大事，必作于细。追求财富自由，是为了释放时间和精力去做真正渴望的事情。let's try
短评,35295592,胡阿忧,2021-04-25 11:09:30,5,关于财商，这本书绝对符合9.2分的气质。我是第三次读这本书，第一次没有读懂，觉得比较简单，小孩子读物；第二遍是读董了自信和成长的故事，对金钱有了一些新的认识；第三遍读，更注重整本书的整体逻辑：自信（成功日记）+目标（梦想相册）+习惯（养金鹅）+行动（照顾小狗、做兼职）+坚持（对目标的持续）。如果一个小孩子可以通过这一套逻辑进行财商训练，我也应该可以。这本书值得反复阅读，第三次带着孩子一起读，感觉收获了书中内容，也收获了对亲子教育的重新认知。非常推荐这本书，绝对的必读书单之一。
短评,35295592,弓小箭,2020-12-27 22:28:01,4,很有收获的童话故事，教孩子理财的书现在也有很多，可惜能写明白的并不多。很多书要么专业性强，不知道孩子的理解水平；要么矮化孩子。这本书普及了一些基本的理财知识，更注重在思维上教孩子树立理财思维，打破思维限制，不愧是经典。
短评,35295592,香芋紫苏,2021-02-06 11:19:27,5,读过之后有强烈的一个想法，可以把小狗钱钱做成一款游戏，很多孩子们如果免不了玩手机游戏，不如玩这款可以培养孩子理财观念的游戏。就用书里的情节，先寻找可以赚钱的机会，送报纸，送面包，替邻居遛狗……，然后养一只鹅，想办法如何让鹅下金蛋，把自己的钱分成3份，一份养鹅，一份生活开销，一份存入梦想储备金。如果我小时候玩过这款游戏，估计现在就不会月光了
短评,35295592,窗边豆豆,2021-03-11 20:04:27,5,"1.72小时法则：当你决定做一件事时，必须在72小时之内开始行动，否则就很有可能再也不会做了。
2.幸运只不过是充分准备加上努力工作的结果。
3.勇敢不是毫不恐惧。勇敢的意思是，一个人尽管心怀恐惧，但仍然能克服恐惧向前走去。
4.不要为已失去的东西悲叹，而要对你曾经拥有它的时光心存感激。
5.墙一旦倒塌，视野便会开阔。"
短评,35295592,huangheDan,2021-03-02 23:26:34,5,虽然我成年人，但既不懂更不擅长理财，归根结底很多观念不对，虽然这本书是写给孩子的，我仍然受益匪浅。其中一句话印象较深“很多事情72小时之内不去做，就不会再去做了”时不我待，不管是赚钱还是感情，都不要留遗憾。
短评,35295592,向小阳,2021-05-11 09:29:53,5,"字数受限。
4、对陷入债务的人四个忠告，第一，欠债的人应当毁掉所有的信用卡；第二，应当尽可能少地偿还贷款，在许可范围内按最低的分期付款数目标准支付；第三，消费贷款，应当遵守一个原则，就是将不用于生活的那部分钱的一半存起来，另一半用于偿还贷款，最好把根本不申请消费贷款；第四，债务人应该在消费前不断追问自己“这真的有必要吗？”
5、鹅代表钱，存钱就会又利息，利息就是金蛋。在抛开基本生活费以及贷款以后，剩下的钱应该采取50%存入鹅中，40%存进梦想储蓄罐，剩下10%用来花。
8、挑选基金应的注意事项：1基金应该至少有10历史。2应该选择大型的跨国股票基金。3对基金的走势图进行比较。
9、72公式。用72除以投资的年利润百分比，得出数字就是这笔钱翻一倍所要的年数。
"
短评,35295592,Humble,2021-01-31 20:10:44,3,还是给小孩子读吧
短评,35295592,小梅森塔尔,2021-03-02 17:29:16,0,之前看过《富爸爸穷爸爸》，那时候可能还不懂，没什么太大感触。这本还颇有启发
短评,35295592,竞谊,2021-02-18 17:48:57,4,简单易懂的理财书，通过故事为读者讲解一些理财的原则，一本非常好的理财入门书。学到了知识，投入到实践，我决定结合书里提到的方法开始进行理财了，加油。
短评,35295592,刘三国,2021-06-10 20:43:00,5,好棒的一本书，要是早点看到就好了！我现在开始写成功学日记了！
短评,35295592,劉丹青Shelia,2021-03-30 23:53:26,5,我一边看一边跟糯米说：别人家的小狗还会赚钱，你会干什么啊糯米
短评,35295592,枍杙,2021-03-29 01:47:31,4,视野宽广了一些
短评,35295592,shallwetalk,2021-06-14 16:46:26,5,"关注你知道的、能做到的和拥有的。
72公式：投资何时翻倍？用72除以通货膨胀率：10%的收益率的话，7.2年可翻倍。"
短评,35295592,Gus,2021-03-16 22:50:42,5,道理简单，愿意了解难。能够践行更难
短评,35295592,少女食人花,2021-08-28 22:51:55,5,我为什么在10岁的时候没有把他认真读完！？！为什么！！！
短评,35295592,艾可,2021-01-16 19:33:16,4,你不理财，财不理你。我不会理财，又希望孩子能理财。这本书轻松解决了我的苦恼，我自己读了也非常有感触。
短评,35295592,chilichili,2021-05-23 22:28:24,5,开始执行，好奇可以为我生活带来的变化
短评,35295592,mumudancing,2022-02-11 23:04:02,4,我为什么没早点读这本书………
短评,35295592,书影清浅,2021-02-02 14:36:26,5,很羞愧地说，这是我的第一本理财书，之前都是把钱老老实实放支付宝，今年开始学习理财。很早就想读这本书，终于读到了。钱钱和吉娅的故事充满吸引力，而关于理财的内容特别易懂，真的是一本给孩子和自己财商启蒙的好书。自信，成功日记，梦想储蓄罐，72法则，基金，541的方式管理钱财，有很多这样的小点子，实践是最重要的一步。
短评,35295592,十一,2021-07-04 10:14:19,4,好好养鹅，养鹅顺利
短评,35295592,我不是达尔文,2021-05-27 16:11:30,4,每天写成功日记好难T^T
短评,35295592,Lynn,2022-02-09 18:16:00,5,故事可爱 浅显但也有收获
短评,35295592,谭不爽,2021-11-14 23:22:47,5,富足是我们与生俱来的权利，要努力养自己的“鹅”啊
短评,35295592,冷妞。,2021-03-01 00:31:44,5,"用了几个小时看完
但似乎要用一些时间思考
然后用更长的时间执行
以及 会给孩子读"
