type,book_id,user,time,rating,content
短评,36249786,乐浪公主,2023-04-06 22:10:20,4,读的郑世朗的第五本，前几本都能在细微处感受到她的可爱与真心，但是作为长篇单靠细微处的可爱并不能把作品支撑得特别好。她的短篇就恰到好处把她的长处发挥出来了。《众所周知，隐热》进入得不太顺，但是最后让我想到了约汉以前的电影《灾难电影》，最后戛然而止很有味道。《孝尽》里关于中国男友和熊猫，以及在蛋挞中回忆很打动我。《婚纱44》像许多经典的笑话。《幸福饼干耳朵》最后有点想哭。《屋顶见》很不错，有点诡异，但是里面也有有干净的希望，她的两部长篇都能看到《屋顶见》和《永远的77码》的影子。《永远77码》竟然是吸血鬼的故事！甚至在这个故事里还有几处很可爱幽默的地方，真是不知道怎么形容。《宝妮》《离婚甩卖》都在沉痛的悲伤里闪现了光亮。《伊玛与沙》是个寓言故事。我觉得这不是独属于“孝尽”的故事，是当代的故事。
短评,36249786,喜喜,2023-04-12 08:41:19,3,看完这本暗自决定，以后韩国作家除了金爱烂，别的再也不买了。我实在看不出这些故事好在哪里，第一篇把历史和虚构结合起来的写法挺有趣，但结尾太垮，整个读下来就有一种《东周列国志》中掺进了《萌芽》的感觉。《孝尽》是关于女性逃离的故事，《婚纱44》无非是换了个写法写俗套婚恋。《屋顶见》和《永远77码》让我重温了看《诅咒兔》时的体验，用恶心和怪诞拙劣地表达一些并不高明的主题。《幸福饼干耳朵》也过于无聊了...
短评,36249786,北渺,2023-04-12 09:38:09,5,很好看，真的很不错，幽默极了，这么幽默的韩国人很少见，喜欢《幸福饼干耳朵》和《永远77码》，前者幽默放松得让人想笑，后者有点残酷隐忍的温柔，《离婚甩卖》是最好的，婚姻的瓦解是轻而易举的，所谓“家”的概念不堪一击，但是瓦解的过程却是那样令人心碎的零碎，深深共鸣了，当我们从其他城市回到老家，搬到婆婆的房子暂时居住，曾经一直使用的厨具蒙尘不再使用，零零碎碎的物品包裹在大小纸箱里散落在各处，的确有种苦心营造的小家庭散伙的感觉，那种感觉又轻易又复杂但又奇怪得令人放松（可能因为不用做饭了[笑]），不结婚还是好的，但是一旦踏进婚姻的确也难回去，这很难说是谁的错，但总归让人难有信心的。
短评,36249786,美洛的鸟,2023-04-12 11:10:58,5,是去年吆喝了大半年的惊喜短篇集！郑世朗是太值得阅读的作家，历史学出身的她，触到了非常多的残酷，她没有躲闪、惊惧或揭露，而是勇敢拥抱，选择成为「彼此的勇气」。而针对「父权制」，她的选择是在书写中不断提出更为宽宏的「共同体思想」，超越民族、性别，把这一切交还给交流、理解和开放。我个人更喜爱《众所周知，隐热》《宝妮》《伊玛与沙》，还有同名篇《孝尽》，是真心的推荐阅读啊。
短评,36249786,卯亥,2023-04-12 11:29:13,5,女性，奇幻元素，轻盈的写法。其中几个故事很有韩剧奇幻风。喜欢《宝妮》《永远77码》《幸福饼干耳朵》。
短评,36249786,There’s NoTree,2023-04-11 16:34:36,4,《幸福饼干耳朵》一篇，在匿名前提下对作品创作者性别的误认，很大程度还是因为“第一性别”的文化影响深入人心吧……明明是极具有女性气质的作品，我很喜欢。
短评,36249786,木犀,2023-04-10 17:41:24,5,郑世朗说，《孝尽》的原型是她的朋友，她笔下的那些可爱又充满苦涩幽默的女性形象都来自她：「只要有她在，我就感到自由，可以不必再期待别人的理解。」——郑世朗同样也带给人这种感觉。在她的笔下，生活是平淡中偶有酸涩的，但在这种褶皱的网之下，是「理解」带来的闪光和柔软。读的第一部郑世朗，过程中虽然仍会因那些我们都会懂的疲惫和心碎共情，但在她的文字里，你真的会感觉到「生命是一份礼物」。
短评,36249786,Monologue🌈😈,2023-04-09 23:20:28,4,"（是个有点惊喜的东亚盲盒）
几年前在微博看到有人翻译郑世朗的作品，当时看到的是《婚纱44》，觉得很有趣。《幸福饼干耳朵》是以男性为主人公的故事，属于我理想中“富有创造性”的爱情。《屋顶见》吸食绝望的“丈夫”设定非常有创意，看到结尾我被狠狠戳中，一边笑着一边哭了起来。《永远77码》的情节有一点点cult，我也想体验一下变成吸血鬼是什么感受。
“死在二十一世纪的人，最终都会变成数据啊。”
郑世朗的文字给我最大的感受是舒适自然，像温暖清澈的晴空，偶尔有鸟儿飞过，带来可爱的气息。
“屋顶见，姐妹”"
短评,36249786,su,2023-04-09 19:28:36,5,在郑世朗的笔下，痛苦的时刻总是意外地与酸甜的味觉、绚烂的色彩，乃至童话般的都市怪谈关联在一起。因此，这本小说集涉及的主题虽然不乏沉重——原生家庭、职场骚扰、对于女性的敌意、底层劳工安全隐患，却总是呈现出一种“轻”而梦幻的特质。就像酸心橡皮糖，一颗颗外形可爱的糖果，内里却是酸的，掩盖在糖霜之下。
短评,36249786,歐陽琳瑯,2023-04-14 23:50:16,2,让人很失望的一本书，全书只有书名和那句“中国有招娣，韩国有孝尽”的宣传语有点意思。讲婚姻和女性觉醒的《孝尽》《婚纱44》两篇不够深刻，编小说的《屋顶见》讲用咒术召唤了一个人形都没有的怪物当老公，还天天一起睡觉，莫名其妙。那篇《幸福饼干耳朵》把我恶心到了，想象一下耳朵被炸掉了一半，炸掉的部分长出了不同口味的饼干，而且从不洗耳朵，每一次都在do的时候被他女朋友吃掉………真的很恶心………好脏………
