type,book_id,user,time,rating,content,book name,sentiment
短评,1028842,传奇☂,2011-11-21 16:42:13,5,2011-9-15 如果所有的教课书都是这样的，那么我们会有多么幸福！,经济学原理（上下）,1.0
短评,1028842,Ying,2012-09-03 17:42:46,5,为了演讲又翻出来看了下，真是经济学入门最好最有趣的书，没有之一。,经济学原理（上下）,1.0
短评,1028842,角质紧猫,2009-08-29 16:14:39,4,咿呀......知道是本好书可是看不进去怎办呀掩面,经济学原理（上下）,1.0
短评,1028842,leoglory,2010-07-01 08:33:37,5,我以后也要写这样的教科书。,经济学原理（上下）,1.0
短评,1028842,leo,2010-04-11 07:07:13,0,作为一本初级的西方经济学教科书，它十分成功。对于绝大多数渴望了解西方经济学的非专业人员，读完这本书足矣。但是，我不肯定此书的汉译水平。它的拙劣将影响至少一代中国经济学人的专业表达能力。,经济学原理（上下）,
短评,1028842,Mannialanck,2012-08-27 10:01:26,5,多年以前，这门课得了个A，大学里一共就得了几个A,经济学原理（上下）,1.0
短评,1028842,Once,2013-09-04 20:18:14,0,比《经济学的思维方式》更好一些,经济学原理（上下）,
短评,1028842,菠菜,2010-11-08 21:28:48,5,就我的脑子得读多少遍啊- -,经济学原理（上下）,1.0
短评,1028842,Bill,2007-12-17 23:21:17,5,非常好的经济学教材 多用图形解决问题 些许翻译错误美中不足 总体来说是非常经典的经济学入门读物 不仅可以当作课本来用 有兴趣的也可以当作科普书来增长一下知识 可惜案例多以西方视角入手 特别讲到宏观部分的时候对中国有些水土不服,经济学原理（上下）,1.0
短评,1028842,吃饱饱的贼贼,2008-03-16 17:24:08,5,还是曼昆人好．．,经济学原理（上下）,1.0
短评,1028842,刘小昭,2017-06-12 11:54:16,5,曼昆+梁小民,经济学原理（上下）,1.0
短评,1028842,[已注销],2010-08-02 20:14:24,0,只看完了上册。。。下册过阵子再看吧。。蛋疼,经济学原理（上下）,
短评,1028842,北漠,2007-04-21 03:06:17,4,"呵呵，还不错，不如塞缪尔森
但是曼昆是个才子，这么艰深的经济学，他深入浅出",经济学原理（上下）,1.0
短评,1028842,withinbeyond,2010-09-21 22:54:31,3,逻辑没有问题，有问题的是作为起点的假设。,经济学原理（上下）,0.0
短评,1028842,miniuminiu,2014-01-06 11:27:35,5,无言,经济学原理（上下）,1.0
短评,1028842,daling,2012-04-08 23:07:17,5,大学教科书啊,经济学原理（上下）,1.0
短评,1028842,樱桃木,2012-11-15 21:58:38,4,老纸已经毕业了！！！！！！我的专业书！！！！！！！,经济学原理（上下）,1.0
短评,1028842,Sol,2007-10-17 00:32:26,5,经济学入门教材,经济学原理（上下）,1.0
短评,1028842,命运建筑师,2009-02-28 16:16:49,4,曼昆的书作为经济学入门最好了，他总是能阐述的引起人的兴趣,经济学原理（上下）,1.0
短评,1028842,fallsky,2012-12-01 21:00:05,5,"像高中政治老师借的。办公室的老师们说，你若读懂了，高中就不用上了。。。
事实是，我读了，我真没读懂。只是序言写得很幽默呢~可是我不能明白，他总是一个个地定义，为了这个定义，引出了另一个定义。从来没有好好说明白，不过这大概是很艰涩的经济学著作吧，我不能毫无基础地读。但却是编排不错",经济学原理（上下）,1.0
短评,1028842,黑玺,2010-11-16 00:21:28,4,这本教科书的最大特点是它的“学生导向”。如作者自己指出的，他要写的是一本学生喜欢看的经济学教科书。与其他同类教科书相比，本书更多地强调的是经济学原理的应用和政策分析，而不是正式的经济学模型。为此，作者在大部分章节里都提供了案例，以说明经济学原理如何应用于现实经济问题的分析。此外，作者在书中还提供了大量的“新闻摘要”，以使读者懂得什么是生活中的经济学。 ,经济学原理（上下）,1.0
短评,1028842,已註銷の关注,2012-07-18 17:34:42,3,简易版,经济学原理（上下）,0.0
短评,1028842,有只老鱼儿,2020-10-10 01:27:04,5,非经济学专业也能看懂的经济学书，真正的大师是将深奥难解的理论，写出一眼就能明了的案例和语言。而不是将简单的理论讲的多么深意，让人越看不懂，觉得好难啊，自己真笨，你真厉害。,经济学原理（上下）,1.0
短评,1028842,/,2009-04-13 23:33:10,5,年度最佳小说,经济学原理（上下）,1.0
